year,country_code,terror_count,armed,arms_import,exports,foreign_in_invesment,gdp_growth,gdp_per_capita,gross_expenditure,public_health_expenditure,total_health_expenditure,imports,life_expectancy
2013,COD,16,134250,1000000,33.86901982,-1.334885086,8.503503317,413.6957984,32394528220,9.28150182,3.88677527,12545437686,58.27192683
2013,DNK,1,17200,42000000,54.82881332,-0.250948231,0.933349282,61191.19263,3.20882E+11,16.77062335,11.24700751,1.65681E+11,80.3
2013,DOM,1,61000,6500000,25.30412233,2.581902166,4.742064192,6026.989889,65790072582,15.53786666,4.11902833,19504068305,73.31990244
2013,ECU,2,58983,11000000,28.6382883,0.76402482,4.946511267,6074.181971,97345780000,8.76083351,7.28688971,29459627000,75.6485122
2013,EGY,307,835500,675000000,17.17105977,1.465746638,2.106724617,3264.450063,3.043E+11,5.54561079,5.46252124,67399869699,70.92578049
2013,ETH,5,138000,153000000,12.48407356,2.000075086,10.58227004,503.9026066,55511900347,15.94214416,5.19220468,13812126942,63.44219512
2013,FRA,12,318400,107000000,28.60807392,1.124768867,0.576241547,42571.19799,2.86139E+12,15.62424977,11.56028303,8.56336E+11,82.2195122
2013,GEO,2,32350,5000000,44.68923219,5.92515924,3.387043726,4274.376873,18230530179,4.22120686,7.2473647,9303346219,74.51390244
2013,GRC,53,148950,52000000,30.35342851,1.227963495,-3.241425025,21874.8195,2.46608E+11,9.98286342,9.25694494,79551948571,81.28536585
2013,GTM,6,42300,17500000,23.71969259,2.512748158,3.697585578,3432.017458,59833367887,16.85986748,6.29628068,18755601946,71.48639024
2013,GIN,2,12300,3333333.333,28.45685617,2.171629677,2.299999238,521.5389059,7861343482,9.49268407,5.49316028,3402971156,58.2164878
2013,HND,2,20000,20000000,47.94149032,5.818741352,2.791559757,2340.684866,22124335232,14.58942374,9.15018328,12560055454,72.94285366
2013,IND,678,2749700,5170000000,25.42381238,1.515855844,6.540301949,1451.534466,1.91261E+12,4.65673641,4.52911807,5.27555E+11,67.66041463
2013,IDN,32,676500,802000000,23.92357638,2.551356334,5.557263689,3631.672694,9.19735E+11,6.02900479,2.92591721,2.25519E+11,68.70460976
2013,IRN,11,563000,31000000,27.47387386,0.596133807,-1.911575057,6631.29827,4.72301E+11,17.53158028,6.49275923,1.01242E+11,75.12597561
2013,IRQ,2809,177600,353000000,39.67638889,2.186846637,6.572160298,6879.69779,1.90048E+11,6.46038337,5.9199233,48500000000,69.1834878
2013,IRL,26,9350,21500000,106.0894353,20.88013208,1.098839764,52034.76822,1.94302E+11,13.44324909,8.00927632,2.08872E+11,81
2013,ISR,37,184500,153000000,33.38661752,4.243938914,4.376328279,36393.66932,2.86694E+11,11.76268565,7.89399062,91307466489,82.05609756
2013,ITA,7,359500,91000000,28.86258985,0.91671695,-1.728157335,35370.27441,2.08237E+12,13.65742359,9.21721878,5.66796E+11,82.6902439
2013,CIV,4,25000,6000000,41.53105069,1.303332394,8.889421302,1445.910582,30346498259,8.20381845,5.80954361,12066656546,51.20846341
2013,JOR,1,115500,75000000,42.35182427,5.374908267,2.829210769,4656.219807,43538350704,13.69326129,7.23316979,24172112676,73.9
2013,KAZ,4,70500,141000000,38.61703772,4.23069801,6,13890.85601,2.08649E+11,10.90237004,4.29914863,63395749140,70.45
2013,KEN,78,29100,1000000,18.14904796,0.67484833,5.693530352,1261.092863,63356052804,13.05253545,5.56790477,18255539467,60.95378049
2013,LBN,117,80000,24000000,56.86896609,6.089241135,0.9,8388.973293,50691675063,10.72474485,6.63325169,31562018652,79.13370732
2013,LBY,285,7000,120000000,54.82944514,4.803079307,-62.07591958,5517.779569,31216304525,4.9278207,4.33485587,42464181804,71.65768293
2013,MDG,2,21600,215165420.2,29.24286682,5.343916897,2.255204043,462.4600105,12095886582,17.22073677,4.14767794,4594434053,64.67390244
2013,MYS,13,133600,71000000,75.6290171,3.494304956,4.692919186,10971.41558,2.95679E+11,5.87616872,4.01811554,2.16893E+11,74.5675122
2013,MDV,3,192336.934,5000000,104.8036534,12.90866683,4.699793673,7112.33575,2270471864,22.87089278,11.16425478,2404741083,76.60260976
2013,MLI,57,11800,6000000,26.20015104,2.402617759,2.303584809,772.2501095,13777735406,4.74362147,6.5777895,4321577200,57.53519512
2013,MEX,8,325450,63000000,31.78192241,3.765044839,1.360077144,10198.6473,1.2731E+12,11.58149111,6.29528345,4.12197E+11,76.53265854
2013,MNE,2,12180,215165420.2,41.34234771,10.00090579,3.5490131,7186.813592,5361247278,9.84266145,6.42538419,2742477030,75.97019512
2013,MOZ,18,11200,9000000,30.36930905,41.80963586,7.1416833,605.2344447,24610930953,8.8123221,5.89790701,13456895719,54.6415122
2013,MMR,17,513250,251000000,19.63509832,3.749371259,8.426001025,1134.928443,59718275988,3.28063395,2.15820037,11392566560,65.65409756
2013,NPL,101,157750,7333333.333,10.68907517,0.382833577,4.128877676,696.732684,24584774968,11.64034241,5.6862681,7264224126,69.222
2013,NER,4,10700,13000000,22.63550033,9.378436705,5.268378734,417.6703093,8928965266,7.56875312,5.0897826,2996692575,60.82814634
2013,NGA,318,162000,35000000,18.04990659,1.093553893,5.394416311,2943.565834,4.83003E+11,6.47716083,3.70392576,66125259152,52.44214634
2013,PAK,2157,947800,1162000000,13.27715343,0.576510795,4.396456633,1276.092448,2.46894E+11,4.72960635,2.70392397,46374225335,65.96368293
2013,PRY,10,25450,7500000,49.56396402,0.255472757,14.03627767,4479.955052,27592855446,12.79713645,10.49411979,12983600420,72.79917073
2013,PER,10,192000,49000000,24.80309747,4.622290627,5.852518211,6580.979053,2.01494E+11,14.38154723,5.23182008,50234571555,74.28385366
