year,country_code,terror_count,arms_import,gdp_growth,life_expectancy
2013,SYR,263,361000000,2.698211474,70.30153659
2013,TZA,7,88000000,7.26306003,64.29182927
2013,THA,471,378000000,2.70211729,74.24692683
2013,TTO,3,23333333.33,2.653918424,70.30529268
2013,TUN,29,38000000,2.995657048,74.7297561
2013,TUR,38,767000000,4.192509347,74.90070732
2013,UKR,5,9500000,-0.026729649,71.1595122
2013,ARE,1,2241000000,4.728897293,77.19563415
2013,GBR,137,494000000,1.911078411,81.00487805
2013,USA,19,787000000,1.67733153,78.74146341
2013,YEM,389,23000000,4.823519067,63.5835122
2013,ZWE,3,215165420.2,4.484095146,55.633
2014,AFG,1767,288000000,1.312530908,60.37446341
2014,ALB,2,7000000,1.799999998,77.83046341
2014,DZA,12,438000000,3.789121212,74.80809756
2014,AUS,8,927000000,2.499851222,82.3
2014,AZE,3,601000000,2,70.76321951
2014,BHR,40,1000000,4.350483603,76.68326829
2014,BGD,130,201000000,6.061093054,71.62590244
2014,BEL,2,103000000,1.653110541,81.28780488
2014,BTN,0,1000000,5.745455168,69.4712439
2014,BIH,3,215165420.2,1.08187567,76.4332439
2014,BRA,3,228000000,0.503961791,74.40187805
2014,BGR,1,12333333.33,1.328849722,74.46585366
2014,BDI,5,3000000,4.660918184,56.69202439
2014,CMR,63,130000000,5.926964959,55.4927561
2014,CAN,3,316000000,2.565299274,81.95660976
2014,CAF,86,7000000,1.040018047,50.65778049
2014,TCD,1,58000000,6.899985045,51.55580488
2014,CHL,17,141000000,1.876395397,81.49619512
2014,CHN,36,1151000000,7.297665959,75.78226829
2014,COL,227,190000000,4.385710901,73.99314634
2014,CYP,5,23500000,-1.531451634,80.13156098
2014,CZE,5,36000000,2.715116132,78.82439024
2014,COD,80,4000000,8.969479483,58.65919512
2014,DJI,1,14000000,6.000194324,62.0155122
2014,DOM,1,6500000,7.608964836,73.50002439
2014,EGY,345,360000000,2.228791014,71.12170732
2014,ETH,1,33000000,10.27918702,64.03502439
2014,FRA,14,17000000,0.636621653,82.67073171
2014,GEO,2,1000000,4.623331907,74.66863415
2014,DEU,13,114000000,1.595338098,81.0902439
2014,GHA,1,14000000,3.985865624,61.31163415
2014,GRC,26,199000000,0.352849233,81.43658537
2014,HND,1,13000000,3.085214961,73.13570732
2014,HUN,1,7000000,4.04732118,75.76341463
