year,country_code,event_count,gdp_growth
2014,CHN,36,7.29766595938162
2014,COL,227,4.385710901097741
2014,CYP,5,-1.5314516336340902
2014,CZE,5,2.71511613157801
2014,DJI,1,6.00019432397339
2014,DOM,1,7.6089648355893
2014,EGY,345,2.2287910138929905
2014,ETH,1,10.2791870240632
2014,FRA,14,0.6366216533092629
2014,GEO,2,4.62333190661251
2014,DEU,13,1.59533809824777
2014,GHA,1,3.9858656241520696
2014,GRC,26,0.352849232575196
2014,HND,1,3.08521496129973
2014,HUN,1,4.04732118010025
2014,ISL,1,1.8266604535470101
2014,IND,823,7.243471745833089
2014,IDN,33,5.023889051989941
2014,IRN,9,4.34334340221696
2014,IRQ,3756,0.0601088720166558
2014,IRL,33,8.46236674549191
2014,ISR,293,3.16304703399375
2014,ITA,7,0.0918949980592174
2014,CIV,1,8.48634556824589
2014,JAM,1,0.6946210844361639
2014,JPN,5,0.33566478648781106
2014,JOR,3,3.0963302752293504
2014,KEN,109,5.3318594038277505
2014,KGZ,2,4.02403862892811
2014,LBN,192,1.79999999999336
2014,LBR,1,0.7011416358233761
2014,MKD,3,3.540834354705
2014,MDG,1,3.3158541551522402
2014,MYS,11,6.01216652008209
2014,MDV,8,5.99732642311237
2014,MLI,65,7.043356203659529
2014,MLT,1,3.46097915656811
2014,MEX,5,2.2453085669358996
2014,MOZ,22,7.4438374285402205
2014,MMR,8,7.9912433435203205
2014,NPL,7,5.9889846608802495
2014,NLD,1,1.41969029584088
2014,NZL,1,3.5761757996746404
2014,NIC,2,4.56521214601311
2014,NER,5,7.0497979480429604
2014,NGA,634,6.30971825251392
2014,PAK,2100,4.674707981437249
2014,PRY,14,4.722333744886679
2014,PER,12,2.35433303756285
2014,PHL,580,6.21842575154629
2014,RUS,48,0.706370560425242
2014,RWA,2,7.00913242009133
2014,SAU,14,3.63869904904455
2014,SEN,2,4.31105102139782
2014,ZAF,20,1.6288715426143798
2014,SSD,34,3.3736484771573596
2014,ESP,3,1.3606730168644698
2014,LKA,16,4.87860303349355
2014,SDN,127,2.67941181278037
2014,SWE,5,2.60432656462434
2014,TJK,1,6.69925065988284
2014,TZA,11,6.96513331674484
2014,THA,423,0.8176331017840821
2014,TUN,23,2.86812367021876
2014,TUR,80,3.02011821310668
2014,TKM,1,10.2999999705459
2014,UGA,6,5.183828962891701
2014,UKR,820,-6.55261889108043
2014,ARE,2,3.07988433054452
2014,GBR,103,3.0704837940677594
2014,USA,26,2.3704576714638703
2014,VEN,4,-3.89438647450662
2014,YEM,713,-0.188690232450909
2014,ZWE,1,3.84829030719978
2015,AFG,1839,0.84071852799228
2015,ALB,4,2.80000000053559
2015,DZA,16,3.89999999999992
2015,ARG,1,2.37229601701262
2015,ARM,2,2.99999999999983
2015,AUS,7,2.24002857543144
2015,BHR,18,2.8629558752814
2015,BGD,463,6.552633316028019
2015,BIH,6,3.03482672375767
2015,BRA,5,-3.84736249471105
2015,BGR,2,3.6174426325092703
2015,BFA,4,4.0210494090787705
2015,BDI,97,-3.9049193526436605
2015,CMR,74,5.77324758060715
2015,CAN,5,1.07826875075381
2015,CAF,45,4.79988608115663
2015,TCD,26,1.7999995211984399
2015,CHL,1,2.30556699457074
2015,CHN,15,6.914330108058441
2015,COL,133,3.08328596730483
2015,CYP,3,1.67927372879697
2015,CZE,4,4.5356286985865895
2015,DNK,4,0.988024995480515
2015,DJI,0,6.50050830791793
2015,ECU,1,0.157743724332676
2015,EGY,577,4.2
2015,EST,2,1.44421310300862
2015,ETH,6,9.607518001010789
2015,FIN,9,0.21029027568411604
2015,FRA,36,1.2741803246989298
2015,GEO,1,2.7749280945405
2015,DEU,50,1.7207335002516002
2015,GRC,31,-0.21914717826305702
2015,GIN,2,0.09999452777447
2015,HUN,1,3.14808382902419
2015,IND,847,7.56336717950757
2015,IDN,28,4.79392130382234
2015,IRQ,2626,3.01992456355764
2015,IRL,29,26.2760572694316
2015,ISR,58,2.5078360615900097
2015,ITA,5,0.731730561315075
2015,CIV,3,9.163380702907599
2015,JPN,10,1.21943813894599
2015,JOR,4,2.38268685636369
2015,KEN,68,5.649197077702921
2015,KWT,1,1.8469992622179299
2015,KGZ,2,3.46928102597576
2015,LAO,2,7.350386007732401
2015,LBN,43,1.30000000005757
2015,LSO,1,1.6119404351862
2015,MKD,4,3.6652803609358995
2015,MYS,5,4.96878521601461
2015,MDV,2,2.84664349798271
2015,MLI,112,5.96258159051517
2015,MLT,1,6.154958235168119
2015,MEX,19,2.4649559253705298
2015,MNE,1,3.15119138092896
2015,MAR,1,4.50848746470318
2015,MOZ,6,6.609723213823429
2015,MMR,27,7.294031845397019
2015,NPL,47,2.7252721909615
2015,NLD,2,1.95171098230912
2015,NER,39,3.60530160522534
2015,NGA,582,2.65269362304348
2015,PAK,1202,4.712457803694719
2015,PRY,18,2.96223631116965
2015,PER,10,3.25120242475616
2015,PHL,708,5.9050145623096
2015,QAT,1,3.55101568700967
2015,RUS,21,-3.72667344001421
2015,SAU,97,3.48561679152148
2015,SEN,1,6.48519475353841
2015,ZAF,2,1.26465137815678
2015,KOR,1,2.61193540870619
2015,SSD,44,-6.3497779521387505
2015,LKA,11,4.785984567235871
2015,SDN,117,4.9060451745281695
2015,SWE,36,4.12388430127406
2015,TJK,3,6.0
2015,TZA,14,6.95937442186003
2015,THA,277,2.8283352875791903
2015,TTO,1,-0.578521567736374
2015,TUN,17,0.9946425233517
2015,TUR,409,3.9719451495955402
2015,UGA,9,5.14383772696638
2015,UKR,609,-9.86978436230361
2015,GBR,115,2.2215021283306298
2015,USA,38,2.59614804050973
2015,UZB,1,7.99999999716303
2015,YEM,570,-28.0968348895933
